trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'e': 0.39999999999999947, 'a': 0.5}",25,0,-5.507116217544343,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
61,False,"{'e': 0.38999999999999946, 'a': 0.5}",25,14,19.68634991254834,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'e': 0.37999999999999945, 'a': 0.5}",30,10,-31.82436168011084,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
63,False,"{'e': 0.36999999999999944, 'a': 0.5}",30,0,-69.71555881593427,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
64,False,"{'e': 0.35999999999999943, 'a': 0.5}",20,12,2.342027571036531,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'e': 0.3499999999999994, 'a': 0.5}",30,14,-18.72882770647636,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
66,False,"{'e': 0.3399999999999994, 'a': 0.5}",20,3,29.580691996686717,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'e': 0.3299999999999994, 'a': 0.5}",25,13,-11.715220393521241,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
68,False,"{'e': 0.3199999999999994, 'a': 0.5}",30,16,-28.355843998405838,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'e': 0.3099999999999994, 'a': 0.5}",20,11,-35.9539775475007,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
70,False,"{'e': 0.2999999999999994, 'a': 0.5}",25,10,20.80213161126863,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'e': 0.28999999999999937, 'a': 0.5}",25,0,25.933852449214843,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'e': 0.27999999999999936, 'a': 0.5}",25,0,-113.47898950655377,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
73,False,"{'e': 0.26999999999999935, 'a': 0.5}",30,3,16.071887512379384,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'e': 0.25999999999999934, 'a': 0.5}",30,0,-53.67289773966578,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
75,False,"{'e': 0.24999999999999933, 'a': 0.5}",30,16,-0.03250467679415192,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
76,False,"{'e': 0.23999999999999932, 'a': 0.5}",30,4,29.178604681754077,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'e': 0.22999999999999932, 'a': 0.5}",25,0,-23.543632174310343,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
